Line#,Process,Temp,Pres,Velocity,Metallurgy,Size,WallThickness,Failures_Target
0040,C2,365,529,14.40905975,SS,1.5,0.145,Yes
0041,Produced Gas,583,505,11.93710666,CS,2,0.154,No
0042,C3,484,486,7.686047934,CS,1.5,0.145,Yes
0043,Produced Water,418,410,24.95385585,Othr,0.75,0.113,No
0044,C2,12,219,31.71277455,Othr,1,0.133,Yes
0045,Flare,532,238,11.08351462,SS,1.5,0.145,Yes
0046,Produced Gas,167,1,34.21400692,Othr,6,0.28,No
0047,C2,233,538,52.72678103,SS,8,0.322,No
0048,Produced Water,73,244,66.43321722,SS,8,0.322,Yes
0049,C3,340,216,42.79937425,CS,2,0.154,No
0050,C1,314,539,66.46095356,SS,10,0.365,No
0051,Flare,31,395,64.24265124,SS,8,0.322,No
0052,C3,348,308,22.6214455,CS,3,0.216,No
0053,Produced Water,69,564,45.84247824,Othr,0.75,0.113,Yes
0054,C4,379,118,34.54804587,SS,10,0.365,No
0055,C2,332,204,71.60111958,CS,8,0.322,No
0056,Produced Water,183,569,12.34250084,SS,0.75,0.113,No
0057,C4,205,140,5.391501071,CS,6,0.28,No
0058,Flare,58,278,17.47565495,Othr,8,0.322,Yes
0059,C3,442,519,49.23752742,CS,1,0.133,No
0060,C2,324,378,62.9720834,CS,8,0.322,No
0061,Produced Gas,429,491,33.34897126,CS,1.5,0.145,No
0062,Produced Water,485,161,7.139869057,Othr,10,0.365,No
0063,C4,585,580,15.80299264,CS,0.75,0.113,Yes
0064,Produced Gas,20,145,60.62230363,SS,1.5,0.145,No
0065,Produced Water,399,164,17.45897772,CS,4,0.237,Yes
0066,Produced Gas,462,580,67.03577582,SS,0.75,0.113,No
0067,Produced Water,576,35,54.24607871,Othr,1,0.133,Yes
0068,C1,446,375,29.28819083,SS,1,0.133,Yes
0069,Produced Water,6,503,14.99637314,Othr,1,0.133,No
0070,Produced Water,243,44,12.14517147,CS,2,0.154,Yes
0071,Produced Water,399,78,45.45491045,Othr,3,0.216,Yes
0072,C4,260,73,65.80740941,Othr,0.75,0.113,No
0073,C2,447,146,65.02116589,Othr,3,0.216,No
0074,C3,474,319,36.55435455,SS,8,0.322,Yes
0075,C1,56,343,52.67136042,CS,8,0.322,Yes
0076,C2,554,56,1.519292153,CS,10,0.365,No
0077,C3,459,578,31.13119059,Othr,6,0.28,No
0078,C1,269,315,69.53352019,Othr,1.5,0.145,Yes
0079,Flare,244,106,24.76780359,CS,2,0.154,No
0080,Produced Gas,238,380,13.62947597,Othr,2,0.154,No
0081,C4,442,285,64.1587807,CS,2,0.154,No
0082,C4,1,587,67.93171055,SS,10,0.365,Yes
0083,C1,238,52,6.039960458,Othr,6,0.28,No
0084,C2,558,559,59.88803381,SS,2,0.154,Yes
0085,Produced Water,521,5,42.08357616,SS,0.75,0.113,No
0086,C2,317,63,65.33335619,CS,1,0.133,Yes
0087,C1,439,310,70.28625968,CS,6,0.28,No
0088,Flare,97,450,1.342734864,CS,10,0.365,Yes
0089,C4,576,457,29.33229197,SS,4,0.237,No
0090,C4,414,140,47.78417607,CS,3,0.216,Yes
0091,C1,303,497,17.03652302,CS,2,0.154,No
0092,Flare,433,525,60.65483347,SS,3,0.216,No
0093,C1,387,196,3.273388187,CS,2,0.154,Yes
0094,Flare,502,255,19.52191103,Othr,3,0.216,No
0095,C1,165,95,48.33932922,CS,1.5,0.145,Yes
0096,Produced Water,79,150,42.81673316,SS,3,0.216,Yes
0097,Produced Water,561,270,51.06910058,SS,6,0.28,No
0098,C3,372,107,12.53552278,SS,10,0.365,Yes
0099,C4,483,520,34.63756797,Othr,6,0.28,Yes
0100,C3,47,30,38.9176784,Othr,8,0.322,No
