Line#,Temp,Pres,Velocity,Metallurgy,Size,WallThickne1,CR,DIS,Corr,Rem_Wall,Failures_Target
0089,576,138.812231,29.33229197,1,4,0.237,0.0023,2014,0.0138,0.2232,1
0090,414,117.099155,47.78417607,0,3,0.216,0.016,1994,0.416,0,0
0091,303,102.221677,17.03652302,0,2,0.154,0.012,2010,0.12,0.034,1
0092,433,119.6457503,60.65483347,1,3,0.216,0.0017,2007,0.0221,0.1939,1
0093,387,113.480309,3.273388187,0,2,0.154,0.015,2011,0.135,0.019,1
0094,502,128.8939123,19.52191103,2,3,0.216,0.02,1990,0.6,0,0
0095,165,83.72535299,48.33932922,0,1.5,0.145,0.006,2003,0.102,0.043,1
0096,79,72.19865833,42.81673316,1,3,0.216,0.0003,2016,0.0012,0.2148,1
0097,561,136.801761,51.06910058,1,6,0.28,0.0022,1986,0.0748,0.2052,1
0098,372,111.469839,12.53552278,1,10,0.365,0.0014,2002,0.0252,0.3398,1
0099,483,126.347317,34.63756797,2,6,0.28,0.019,2020,0,0.28,1
0100,47,67.90965566,38.9176784,2,8,0.322,0.001,2019,0.001,0.321,1
